Dirección del hecho,Latitud,Longitud,Fecha del hecho,Dia,Mes,Año,Hora,Rango de Hora,Barrio/Vereda,No. Victimas Fatales,No. Victimas No Fatales,Comuna/Corregimiento,Tipo de via de Hechos,Clase de Accidente,Genero,Edad,Rango edad,Medida de Edad,Ocupación,Municipio de Residencia,Características de la victima,Medidas de Protección,Vehiculo de la Victima,Vehiculo 2 de la contraparte,Vehiculo 3 de la contraparte,Vehiculo 4 de la contraparte,Tipo Vehiculo de la victima,Tipo Vehiculo 2 de la contraparte,Tipo Vehiculo 3 de la contraparte,Tipo Vehiculo 4 de la contraparte,Alcohol en el hecho,SPA en el hecho
"Av circunvalar calle 5 y 6, Neiva, Huila, Colombia",29232414,-7529248489999990,05/01/2018,2018,enero,2018,13:08:00,12:00- 17:59,EL CENTRO,1,0,4,Municipal,Peatón Atropellado,Masculino,94,>61,Años,SIN DATO,NEIVA,Peatón,No Aplica,Autónomo (Peatón),Vehiculo particular,No aplica,No aplica,No aplica,Particular,No aplica,No aplica,Sin Dato,Sin Dato
"Carrera 12 con calle 10, Neiva, Huila, Colombia",29308901,-752831119,06/01/2018,2018,enero,2018,17:35:00,12:00- 17:59,LA TOMA,1,0,3,Municipal,Colisión con Objeto Móvil,Masculino,25,25-30,Años,OBRERO CONSTRUCCIÓN,NEIVA,Conductor Moto,Sin Dato,Motocicleta,Vehiculo particular,No aplica,No aplica,Particular,Particular,No aplica,No aplica,Sin Dato,Sin Dato
"Carrera 51D con calle 25A, Neiva, Huila, Colombia",29474638,-7525034319999990,31/01/2018,2018,enero,2018,11:59:00,6:00 - 11:59,ENRIQUE OLAYA HERRERA,1,0,10,Municipal,Colisión con Objeto Móvil,Masculino,23,20-24,Años,INDEPENDIENTE,NEIVA,Sin Dato,Sin Dato,Motocicleta,Vehiculo particular,No aplica,No aplica,Particular,Particular,No aplica,No aplica,Sin Dato,Sin Dato
"Cra 2 con Av circunvalar, Neiva, Huila, Colombia",29201711286587400,-752892596374345,07/02/2018,2018,febrero,2018,17:12:00,12:00- 17:59,SAN PEDRO,1,0,4,Municipal,Peatón Atropellado,Masculino,60,56-60,Años,HABITANTE DE CALLE,NEIVA,Peatón,No Aplica,Autónomo (Peatón),Motocicleta,No aplica,No aplica,No aplica,Particular,No aplica,No aplica,Sin Dato,Sin Dato
"Puente Santader, Neiva, Huila, Colombia",2947826263795990,-7530815560482100,18/02/2018,2018,febrero,2018,2:15:00,00:00- 5:59,TRIANGULO,1,0,1,Municipal,Colisión con Objeto Móvil,Femenino,20,20-24,Años,DESEMPLEADO,SIN DATO,Conductor Moto,Sin Dato,Motocicleta,Vehiculo particular,No aplica,No aplica,Particular,Particular,No aplica,No aplica,Sin Dato,Sin Dato
"Carrera 1f #12-18, Neiva, Huila, Colombia",29289304,-7529553809999990,19/02/2018,2018,febrero,2018,15:59:00,12:00- 17:59,LOS MARTIRES,1,0,4,Municipal,Colisión con Objeto Móvil,Masculino,61,>61,Años,EMPLEADO PARTICULAR,NEIVA,Conductor Moto,Sin Dato,Motocicleta,Taxi,No aplica,No aplica,Particular,Público,No aplica,No aplica,Sin Dato,Sin Dato
"Av Max Duque calle 26sur, Neiva, Huila, Colombia",29081378260591600,-7527222035969190,26/02/2018,2018,febrero,2018,7:22:00,6:00 - 11:59,CANAIMA,1,0,6,Municipal,Caída de Ocupante,Femenino,62,>61,Años,AMA DE CASA,NEIVA,Pasajero Moto,Ninguna,Motocicleta,No aplica,No aplica,No aplica,Particular,No aplica,No aplica,No aplica,Sin Dato,Sin Dato
"Calle 6 carrera 6, Neiva, Huila, Colombia",292577367242413,-7528677933729550,14/03/2018,2018,marzo,2018,15:51:00,12:00- 17:59,EL CENTRO,1,0,4,Municipal,Peatón Atropellado,Femenino,55,51-55,Años,AMA DE CASA,NEIVA,Peatón,No Aplica,Autónomo (Peatón),Microbus/Busetón,No aplica,No aplica,No aplica,Público,No aplica,No aplica,No,No
"Carrera 12 #18A-83, Neiva, Huila, Colombia",29371504,-7528454469999990,05/04/2018,2018,abril,2018,4:50:00,00:00- 5:59,SANTA LIBRADA,1,0,3,Municipal,Colisión con Objeto Fijo,Masculino,38,36-40,Años,DESEMPLEADO,NEIVA,Conductor Moto,Ninguna,Motocicleta,No aplica,No aplica,No aplica,Particular,No aplica,No aplica,No aplica,Si,Sin Dato
"Calle 26 #51A-16, Neiva, Huila, Colombia",29475695,-7525235179999990,11/04/2018,2018,abril,2018,19:05:00,18:00- 23:59,PORTALES DE YALCONIA,1,0,2,Municipal,Peatón Atropellado,Femenino,3,00-04,Años,NO APLICA,NEIVA,Peatón,No Aplica,Autónomo (Peatón),Vehiculo particular,No aplica,No aplica,No aplica,Particular,No aplica,No aplica,No,No
"Carrera 7 #11-48, Neiva, Huila, Colombia",2930665379719340,-7528782606124870,12/04/2018,2018,abril,2018,17:46:00,12:00- 17:59,EL CENTRO,1,0,4,Municipal,Peatón Atropellado,Masculino,64,>61,Años,HABITANTE DE LA CALLLE,NEIVA,Peatón,No Aplica,Autónomo (Peatón),Microbus/Busetón,No aplica,No aplica,No aplica,Público,No aplica,No aplica,No,No
"Vereda Busiraco, Guacirco, Neiva Huila, Colombia",30501493541791600,-7530680668804900,15/04/2018,2018,abril,2018,19:30:00,18:00- 23:59,VEREDA SAN ANDRES DE BUSIRACO,1,2,Guacirco,Nacional,Colisión con Objeto Móvil,Masculino,38,36-40,Años,SOLDADO DEL EJERCITO,NEIVA,Conductor Moto,Sin Dato,Motocicleta,Camión/Camioneta,No aplica,No aplica,Particular,Particular,No aplica,No aplica,Sin Dato,Sin Dato
"Carrera 7W con calle 23, Neiva, Huila, Colombia",29396646489055500,-7530189420507480,28/04/2018,2018,abril,2018,4:23:00,00:00- 5:59,RODRIGO LARA BONILLA,1,0,1,Municipal,Volcamiento,Masculino,21,20-24,Años,ESTUDIANTE,NEIVA,Conductor Moto,Ninguna,Motocicleta,No aplica,No aplica,No aplica,Particular,No aplica,No aplica,No aplica,Sin Dato,Sin Dato
"El Cedral, Vegalarga, Neiva, Huila, Colombia",2945241095065460,-7503904234212540,28/04/2018,2018,abril,2018,18:30:00,18:00- 23:59,VEREDA EL CEDRAL,1,1,Vegalarga,Municipal,Volcamiento,Masculino,59,56-60,Años,AGRICULTOR,NEIVA,Conductor Moto,Sin Dato,Motocicleta,No aplica,No aplica,No aplica,Particular,No aplica,No aplica,No aplica,Sin Dato,Sin Dato
"Carrera 2 #2A-18, Neiva, Huila, Colombia",292188850805802,-7528996051698530,12/05/2018,2018,mayo,2018,6:14:00,6:00 - 11:59,SAN PEDRO,1,0,4,Municipal,Colisión con Objeto Móvil,Femenino,74,>61,Años,AMA DE CASA,NEIVA,Peatón,No Aplica,Autónomo (Peatón),Motocicleta,No aplica,No aplica,No aplica,Particular,No aplica,No aplica,No,No
"Carrera 7 #3A-157 sur, Neiva, Huila, Colombia",29183435322568700,-7528319405276590,15/05/2018,2018,mayo,2018,6:55:00,6:00 - 11:59,ZONA INDUSTRIAL,1,0,6,Municipal,Colisión con Objeto Móvil,Femenino,50,46-50,Años,SIN DATO,NEIVA,Peatón,No Aplica,Autónomo (Peatón),Motocicleta,No aplica,No aplica,No aplica,Particular,No aplica,No aplica,No,No
SIN DATO,,,30/05/2018,2018,mayo,2018,0:00:00,00:00- 5:59,SIN DATO,1,0,Ninguna,Municipal,Caída de Ocupante,Masculino,86,>61,Años,SIN DATO,NEIVA,Pasajero Vehículo,No Aplica,Autónomo (Peatón),Microbus/Busetón,No aplica,No aplica,No aplica,Público,No aplica,No aplica,No,No
"Av. Circunvalar con cll 21, Neiva, Huila, Colombia",2933195015638970,-752990670568812,01/06/2018,2018,junio,2018,5:09:00,00:00- 5:59,EL LAGO,1,2,3,Municipal,Colisión con Objeto Móvil,Masculino,24,20-24,Años,OPERARIO DE MAQUINARIA,NEIVA,Conductor Moto,Ninguna,Motocicleta,Motocicleta,No aplica,No aplica,Particular,Particular,No aplica,No aplica,Sin Dato,Sin Dato
"Carrera 29 #21-33, Neiva, Huila, Colombia",29419646,-7526934890000000,02/06/2018,2018,junio,2018,19:02:00,18:00- 23:59,EL JARDIN,1,0,5,Municipal,Peatón Atropellado,Masculino,68,>61,Años,SIN DATO,NEIVA,Peatón,No Aplica,Autónomo (Peatón),Motocicleta,No aplica,No aplica,No aplica,Particular,No aplica,No aplica,Sin Dato,Sin Dato
"Calle 34 #10W-65, Neiva, Huila, Colombia",29466774589535600,-7530597519073900,08/06/2018,2018,junio,2018,12:56:00,12:00- 17:59,TRIANGULO,1,0,1,Municipal,Colisión con Objeto Móvil,Masculino,29,25-30,Años,EMPLEADO,PALERMO,Conductor Moto,Ninguna,Motocicleta,Tractomula,No aplica,No aplica,Particular,Particular,No aplica,No aplica,No,Sin Dato
"Calle 21sur con carrera 25, Neiva, Huila, Colombia",29081496932931300,-7527226521964040,10/06/2018,2018,junio,2018,1:06:00,00:00- 5:59,CANAIMA,1,0,6,Municipal,Volcamiento,Masculino,39,36-40,Años,MOTOCICLISTA,NEIVA,Conductor Moto,Ninguna,Motocicleta,No aplica,No aplica,No aplica,Particular,No aplica,No aplica,No aplica,Si,Sin Dato
"Calle 41 con carrera 18, Neiva, Huila, Colombia",29524979440820300,-752845878454226,20/06/2018,2018,junio,2018,6:35:00,6:00 - 11:59,LOS PINOS,1,0,2,Municipal,Peatón Atropellado,Masculino,73,>61,Años,CESANTE,NEIVA,Peatón,No Aplica,Autónomo (Peatón),Motocicleta,No aplica,No aplica,No aplica,Particular,No aplica,No aplica,No,Sin Dato
"Km 2 vía Neiva, Fortalecillas, Neiva, Huila, Colom",2982032276822880,-7528266214342220,21/06/2018,2018,junio,2018,8:11:00,6:00 - 11:59,ASENTAMIENTO BRISAS DEL VENADO,1,0,9,Municipal,Volcamiento,Masculino,37,36-40,Años,CONDUCTOR COOMOTOR,NEIVA,Conductor Moto,Ninguna,Motocicleta,No aplica,No aplica,No aplica,Particular,No aplica,No aplica,No aplica,No,Sin Dato
"Calle 56B #17-71, Neiva, Huila, colombia",29582778776060300,-7528634278405840,26/06/2018,2018,junio,2018,Sin dato,Sin dato,VILLA CAROLINA,1,1,2,Municipal,Colisión con Objeto Móvil,Masculino,50,46-50,Años,SIN DATO,NEIVA,Conductor Moto,Sin Dato,Motocicleta,Autónomo (Peatón),No aplica,No aplica,Particular,No aplica,Sin dato,Sin dato,No,No
"Calle 21 con carrera 5, Neiva, Huila, Colombia",2936314973416060,-752923302785012,27/06/2018,2018,junio,2018,13:00:00,12:00- 17:59,SEVILLA,1,0,3,Municipal,Peatón Atropellado,Masculino,81,>61,Años,CESANTE,NEIVA,Peatón,No Aplica,Autónomo (Peatón),Motocicleta,No aplica,No aplica,No aplica,Particular,No aplica,No aplica,No,Sin Dato
"Km 9 8.5 mtrs, Neiva, Huila, Colombia",2964824466037610,-7531092512974160,30/06/2018,2018,junio,2018,1:20:00,00:00- 5:59,VEREDA SAN ANDRES DE BUSIRACO,1,0,Guacirco,Nacional,Colisión con Objeto Móvil,Masculino,19,18-19,Años,CONSTRUCCIÓN,NEIVA,Conductor Moto,Sin Dato,Motocicleta,Animales,No aplica,No aplica,Particular,No aplica,No aplica,No aplica,Sin Dato,Sin Dato
"Calle 13 Carrera 1H, Neiva, Huila, Colombia",29302404,-7529375600000000,01/07/2018,2018,julio,2018,21:28:00,18:00- 23:59,LOS MARTIRES,1,0,4,Municipal,Peatón Atropellado,Masculino,77,>61,Años,VENDEDOR DE DULCES,NEIVA,Peatón,No Aplica,Autónomo (Peatón),Vehiculo particular,No aplica,No aplica,No aplica,Particular,No aplica,No aplica,Sin Dato,Sin Dato
"Carrera 2 #5-67, Neiva, Huila, Colombia",2923504318715300,-7529058697667480,12/07/2018,2018,julio,2018,9:43:00,6:00 - 11:59,SAN PEDRO,1,0,4,Municipal,Peatón Atropellado,Femenino,64,>61,Años,AMA DE CASA,NEIVA,Peatón,No Aplica,Autónomo (Peatón),Motocicleta,No aplica,No aplica,No aplica,Particular,No aplica,No aplica,No,No
"Vía el Cagúan, Nieva, Huila, Colombia",287504893378635,-7524558114649840,23/07/2018,2018,julio,2018,5:24:00,00:00- 5:59,CORREGIMIENTO EL CAGUAN,1,2,El Caguán,Municipal,Colisión con Objeto Móvil,Masculino,42,41-45,Años,ELECTRICISTA,NEIVA,Conductor Moto,Ninguna,Motocicleta,Motocicleta,No aplica,No aplica,Particular,Particular,Sin dato,Sin dato,Sin Dato,Sin Dato
"Carrera 13 #3A-24, Neiva, Huila, Colombia",29253498,-7528067620000000,26/07/2018,2018,julio,2018,Sin dato,Sin dato,ALTICO,1,0,4,Municipal,Sin Dato,Masculino,55,51-55,Años,SIN DATO,SIN DATO,Sin Dato,Sin Dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin Dato,Sin Dato
"Carrera 16 #35-08, Neiva, Huila, Colombia",2947779,-7528567559999990,06/08/2018,2018,agosto,2018,12:34:00,12:00- 17:59,GUALANDAY,1,0,2,Municipal,Peatón Atropellado,Masculino,60,56-60,Años,INDEPENDIENTE,NEIVA,Peatón,No Aplica,Autónomo (Peatón),Motocicleta,No aplica,No aplica,No aplica,Particular,No aplica,No aplica,No,No
"Calle 2, carrera 15B, Neiva, Huila, Colombia",29226142,-7527683660000000,21/08/2018,2018,agosto,2018,13:36:00,12:00- 17:59,OBRERO,1,0,7,Municipal,Colisión con Objeto Móvil,Masculino,26,25-30,Años,AYUDANTE DE ALBAÑILERIA,NEIVA,Ciclista,Ninguna,Bicicleta,Microbus/Busetón,No aplica,No aplica,Particular,Público,No aplica,No aplica,No,Sin Dato
"Carrera 2, circunvalar, Nieva, Huila, Colombia",29202867367528100,-7528926315560840,28/08/2018,2018,agosto,2018,0:00:00,00:00- 5:59,SAN PEDRO,1,0,4,Municipal,Colisión con Objeto Móvil,Masculino,17,15-17,Años,ESTUDIANTE,NEIVA,Ciclista,Ninguna,Bicicleta,Camión/Camioneta,No aplica,No aplica,Particular,Particular,No aplica,No aplica,Sin Dato,Sin Dato
"Carrera 7 #96-52, Neiva, Huila, Colombia",29818004419966800,-7528273227284750,01/09/2018,2018,septiembre,2018,16:15:00,12:00- 17:59,ALBERTO GALINDO,1,0,9,Municipal,Colisión con Objeto Móvil,Masculino,41,41-45,Años,EMPLEADO,NEIVA,Conductor Moto,Casco Protector Moto,Motocicleta,Vehiculo particular,No aplica,No aplica,Particular,Particular,No aplica,No aplica,No,Sin Dato
"Carrera 7, vía fortalecillas, Neiva, Huila, Colomb",2982272979396700,-7528256172569420,01/09/2018,2018,septiembre,2018,23:15:00,18:00- 23:59,CORREGIMIENTO FORTALECILLAS,1,0,Fortalecillas,Municipal,Colisión con Objeto Fijo,Femenino,55,51-55,Años,EMPLEADA PARTICULAR,NEIVA,Conductor Moto,Casco Protector Moto,Motocicleta,No aplica,No aplica,No aplica,Particular,No aplica,No aplica,No aplica,No,Sin Dato
"Carrera 7, calle 96, Neiva, Huila, Colombia",29818970352825800,-7528244355819410,01/09/2018,2018,septiembre,2018,16:05:00,12:00- 17:59,ASENTAMIENTO BRISAS DEL VENADO,1,0,9,Municipal,Peatón Atropellado,Masculino,62,>61,Años,INDEPENDIENTE,NEIVA,Peatón,No Aplica,Autónomo (Peatón),Motocicleta,No aplica,No aplica,No aplica,Particular,No aplica,No aplica,No,Sin Dato
"Carrera 52, calle 20A, Neiva, Huila, Colombia",29427578,-7524837919999990,05/09/2018,2018,septiembre,2018,8:20:00,6:00 - 11:59,LAS PALMAS,1,0,10,Municipal,Colisión con Objeto Fijo,Masculino,20,20-24,Años,GUARDA DE SEGURIDAD,NEIVA,Conductor Moto,Casco Protector Moto,Motocicleta,No aplica,No aplica,No aplica,Particular,No aplica,No aplica,No aplica,No,Sin Dato
"Carrera 1, calle 48, Neiva, Huila, Colombia",29546527,-752976557,07/09/2018,2018,septiembre,2018,13:50:00,12:00- 17:59,CANDIDO LEGUIZAMO,1,0,1,Municipal,Colisión con Objeto Móvil,Masculino,11,10-14,Años,ESTUDIANTE,NEIVA,Ciclista,Ninguna,Bicicleta,Camión/Camioneta,No aplica,No aplica,Particular,Particular,No aplica,No aplica,No,Sin Dato
"Carrera 2A #27-42, Neiva, Huila, Colombia",2923970822516440,-7526957976382070,14/09/2018,2018,septiembre,2018,23:42:00,18:00- 23:59,NUEVA GRANADA,1,0,8,Municipal,Colisión con Objeto Fijo,Masculino,24,20-24,Años,EMPLEADO PARTICULAR,NEIVA,Conductor Moto,Casco Protector Moto,Motocicleta,No aplica,No aplica,No aplica,Particular,No aplica,No aplica,No aplica,No,Sin Dato
"Calle 20 #33-43, Neiva, Huila, Colombia",29408171,-7526631420000000,17/09/2018,2018,septiembre,2018,19:13:00,18:00- 23:59,EL JARDIN,1,0,5,Municipal,Peatón Atropellado,Femenino,47,46-50,Años,AMA DE CASA,NEIVA,Peatón,No Aplica,Autónomo (Peatón),Motocicleta,No aplica,No aplica,No aplica,Particular,No aplica,No aplica,No,Sin Dato
"Carrera 7 con calle 16, Neiva, Huila, Colombia",29342414,-75288677,06/10/2018,2018,octubre,2018,21:50:00,18:00- 23:59,QUIRINAL,1,0,3,Municipal,Colisión con Objeto Fijo,Masculino,20,20-24,Años,SIN DATO,NEIVA,Conductor Moto,Casco Protector Moto,Motocicleta,No aplica,No aplica,No aplica,Particular,No aplica,No aplica,No aplica,Sin Dato,Sin Dato
"Carrera 5 sur #36-30, Neiva, Huila, Colombia",289061183224396,-7527631674366090,12/10/2018,2018,octubre,2018,14:40:00,12:00- 17:59,ZONA INDUSTRIAL,1,1,6,Municipal,Colisión con Objeto Móvil,Femenino,16,15-17,Años,SIN DATO,RIVERA,Conductor Moto,Casco Protector Moto,Motocicleta,Camión/Camioneta,No aplica,No aplica,Particular,Particular,Sin dato,Sin dato,Sin Dato,Sin Dato
"Calle 9 #15-25, Neiva, Huila, Colombia",29315966012973400,-7528013271503070,30/11/2018,2018,noviembre,2018,16:51:00,12:00- 17:59,ALTICO,1,0,4,Municipal,Peatón Atropellado,Masculino,84,>61,Años,MAESTRO DE OBRA,NEIVA,Peatón,No Aplica,Autónomo (Peatón),Motocicleta,No aplica,No aplica,No aplica,Particular,Sin dato,Sin dato,Sin Dato,Sin Dato
"Carrera 33 con 24 sur, Neiva, Huila, Colombia",290280,-7526678,02/12/2018,2018,diciembre,2018,12:35:00,12:00- 17:59,PUERTAS DEL SOL,2,0,6,Municipal,Colisión con Objeto Fijo,Femenino,46,46-50,Años,AMA DE CASA,NEIVA,Pasajero Moto,Casco Protector Moto,Motocicleta,Vehiculo particular,No aplica,No aplica,Particular,Particular,No aplica,No aplica,No,No
"Carrera 33 con 24 sur, Neiva, Huila, Colombi",290280,-7526678,02/12/2018,2018,diciembre,2018,12:35:00,12:00- 17:59,PUERTAS DEL SOL,2,0,6,Municipal,Colisión con Objeto Móvil,Masculino,49,46-50,Años,AGRICULTOR,NEIVA,Conductor Moto,Casco Protector Moto,Motocicleta,Vehiculo particular,No aplica,No aplica,Particular,Particular,No aplica,No aplica,No,No
"San Andrés de Busiraco, Neiva, Huila, Colombia",309010,-7527964,06/12/2018,2018,diciembre,2018,19:30:00,18:00- 23:59,VEREDA SAN ANDRES DE BUSIRACO,1,0,Guacirco,Nacional,Colisión con Objeto Móvil,Masculino,46,46-50,Años,OFICIOS VARIOS,NEIVA,Conductor Moto,Casco Protector Moto,Motocicleta,Camión/Camioneta,No aplica,No aplica,Particular,Particular,No aplica,No aplica,No,No
"Carrera 1 con calle 55, Neiva, Huila, Colombia",295825,-7529707,16/12/2018,2018,diciembre,2018,0:00:00,00:00- 5:59,CANDIDO LEGUIZAMO,1,0,1,Municipal,Peatón Atropellado,Femenino,90,>61,Años,AMA DE CASA,NEIVA,Peatón,No Aplica,Autónomo (Peatón),Sin dato,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,Sin Dato,No
"Carrera 20 s con calle 27, Neiva, Huila, Colombia",290309,-7527712,17/12/2018,2018,diciembre,2018,0:00:00,00:00- 5:59,SAN JORGE,1,0,6,Municipal,Colisión con Objeto Móvil,Femenino,50,46-50,Años,DESEMPLEADA,NEIVA,Pasajero Moto,Sin Dato,Motocicleta,Motocicleta,No aplica,No aplica,Particular,Particular,No aplica,No aplica,Sin Dato,Sin Dato
"Carrera 2 con circumvalar, Neiva, Huila, Colombia",292034,-7528925,26/12/2018,2018,diciembre,2018,16:37:00,12:00- 17:59,SAN PEDRO,1,0,4,Municipal,Peatón Atropellado,Masculino,61,>61,Años,HABITANTE DE CALLE,NEIVA,Peatón,No Aplica,Autónomo (Peatón),Motocicleta,No aplica,No aplica,No aplica,Particular,No aplica,No aplica,No,Sin Dato
